M,AoA,Cl,Cd,Cp
0.730501,2.459491,0.745084,0.014113,-1.157752
0.722804,2.414258,0.72519,0.012143,-0.612642
0.728934,2.503431,0.751157,0.013969,-1.051044
0.732118,2.428083,0.740263,0.014322,-1.18973
0.725445,2.166561,0.683823,0.011525,-0.621691
0.722121,2.308499,0.704224,0.011635,-0.644533
0.735787,2.457338,0.747698,0.015767,-1.229791
0.72913,2.343067,0.72255,0.013003,-0.934433
0.722668,1.949468,0.637921,0.01066,-0.717705
0.724574,2.169195,0.682846,0.011431,-0.634404
0.726256,2.283982,0.707174,0.012132,-0.63531
0.727061,2.241263,0.700444,0.012074,-0.656004
0.728319,2.02906,0.663497,0.011381,-0.636491
0.733801,2.103446,0.685959,0.012731,-1.124926
0.741109,2.370721,0.735694,0.017007,-1.222386
0.727713,2.014475,0.659576,0.01125,-0.626355
0.725953,1.976967,0.649311,0.010948,-0.656696
0.724321,2.446191,0.733697,0.012553,-0.60985
0.729529,2.386078,0.730897,0.013359,-1.013783
0.721141,2.317508,0.703999,0.011556,-0.65892
0.732642,2.086831,0.681119,0.012377,-1.059605
0.720546,2.468765,0.731053,0.012041,-0.636795
0.726437,2.327196,0.715255,0.012364,-0.659352
0.731831,2.069583,0.676706,0.012134,-0.971728
0.731931,2.383525,0.732998,0.01399,-1.175733
0.733896,2.130671,0.690629,0.012914,-1.13725
0.730298,2.765991,0.795759,0.016539,-1.257862
0.726358,2.066019,0.666829,0.011272,-0.628594
0.736835,2.335856,0.727988,0.015152,-1.210141
0.73043,2.475164,0.747789,0.014205,-1.161846
0.72658,2.504637,0.747983,0.013353,-0.803016
0.726706,2.460718,0.740464,0.013119,-0.784169
0.725106,2.521765,0.749044,0.013107,-0.675334
0.7253,1.986801,0.649985,0.01092,-0.665756
0.739047,2.649841,0.779558,0.018847,-1.266331
0.728378,2.411751,0.734001,0.013226,-0.915394
0.731555,2.162047,0.693455,0.012555,-1.030466
0.733191,2.315257,0.722309,0.01389,-1.180437
0.729417,2.219615,0.700755,0.012403,-0.868291
0.738933,2.578534,0.768858,0.018099,-1.255116
0.723986,2.129229,0.67433,0.011231,-0.653713
0.727891,2.041254,0.664958,0.01137,-0.62818
0.734425,2.59822,0.770741,0.016519,-1.25312
0.725915,1.998106,0.653234,0.011005,-0.652371
0.725423,2.322583,0.712775,0.012163,-0.617101
0.730691,2.721185,0.788832,0.016264,-1.250793
0.72897,2.341752,0.722174,0.012956,-0.91767
0.725217,2.438467,0.734138,0.01268,-0.64441
0.724868,2.355195,0.717763,0.012215,-0.610784
0.733737,2.340555,0.727491,0.014237,-1.194125
0.723231,2.311436,0.706882,0.011786,-0.625727
0.730715,1.974935,0.657267,0.011508,-0.767415
0.723156,2.004705,0.649269,0.010812,-0.698185
0.725694,2.312981,0.711594,0.012167,-0.622827
0.732435,1.933464,0.652248,0.011607,-0.904067
0.723701,2.233921,0.693212,0.011557,-0.634674
0.728252,2.215376,0.697814,0.012166,-0.731908
0.733666,2.229526,0.707568,0.013462,-1.162843
0.724438,2.635441,0.768445,0.013673,-0.682724
0.72809,2.085407,0.673545,0.011568,-0.644029
0.728551,2.50181,0.75016,0.013853,-1.002857
0.729615,2.258189,0.707877,0.012645,-0.917203
0.730342,2.344971,0.724496,0.013301,-1.049029
0.727423,2.31834,0.715702,0.012504,-0.749079
0.732909,2.267556,0.71342,0.013484,-1.154904
0.724461,2.36052,0.718185,0.012173,-0.608244
0.734927,2.645258,0.778043,0.017125,-1.262631
0.726944,1.720663,0.602748,0.010401,-0.697071
0.73231,2.17345,0.69614,0.012779,-1.095881
0.743255,2.367883,0.735433,0.017828,-1.222369
0.728322,2.46364,0.742732,0.013525,-0.94477
0.726667,2.094016,0.672694,0.011411,-0.621916
0.726783,2.473326,0.742643,0.013207,-0.801126
0.720193,2.390236,0.715743,0.011701,-0.659367
0.725104,2.353533,0.717856,0.012245,-0.614399
0.730282,2.359415,0.726923,0.013373,-1.053649
0.731152,2.365002,0.728786,0.01365,-1.14009
0.723668,1.97237,0.644129,0.010766,-0.697249
0.722221,2.444011,0.729712,0.012182,-0.615312
0.726269,2.000766,0.654446,0.011048,-0.644937
0.73655,2.148938,0.696773,0.013746,-1.173716
0.73198,2.379317,0.732312,0.013975,-1.175358
0.731306,2.375807,0.731112,0.013765,-1.155466
0.724794,2.445214,0.734612,0.012639,-0.624521
0.72089,2.210985,0.683542,0.011203,-0.686882
0.721296,2.347949,0.709903,0.011678,-0.650093
0.724662,2.30384,0.708098,0.01196,-0.611015
0.732464,2.541753,0.760408,0.015336,-1.229073
0.727194,2.178675,0.689261,0.011822,-0.638661
0.724202,2.263258,0.699589,0.01173,-0.620529
0.733434,2.369777,0.732377,0.014357,-1.198122
0.730455,1.88173,0.639439,0.011123,-0.677883
0.735938,2.403694,0.738791,0.015383,-1.220197
0.737112,2.0681,0.683303,0.013374,-1.159475
0.727345,2.307793,0.713549,0.012445,-0.722693
0.725851,2.264718,0.702781,0.011978,-0.617941
0.73122,2.321594,0.721071,0.013389,-1.119057
0.727086,2.292817,0.710157,0.012322,-0.683117
0.715663,2.321439,0.693761,0.011138,-0.724927
0.739225,2.465472,0.751018,0.01715,-1.236936
0.72824,2.611342,0.768757,0.014542,-1.059303
0.729438,2.309285,0.716877,0.012882,-0.937673
0.730988,2.488896,0.750313,0.014454,-1.188593
0.735143,2.515815,0.757253,0.016042,-1.23917
0.734201,2.193528,0.702289,0.013385,-1.161389
0.727962,2.592202,0.765675,0.014333,-1.017058
0.723357,2.326858,0.709971,0.011863,-0.620641
0.73728,2.369049,0.734462,0.015599,-1.21772
0.725728,2.088141,0.669837,0.011278,-0.633524
0.728197,2.456142,0.741464,0.013449,-0.929427
0.733493,2.387141,0.734786,0.014473,-1.202279
0.73547,2.313178,0.723796,0.014562,-1.201687
0.725578,2.571217,0.758711,0.013515,-0.750875
0.720659,2.201441,0.681282,0.011159,-0.692646
0.71919,2.306064,0.697956,0.011336,-0.692532
0.732673,2.631507,0.77499,0.016162,-1.251547
0.723934,2.043685,0.6581,0.010969,-0.675842
0.739157,2.342604,0.730751,0.016038,-1.216213
0.728905,2.356146,0.724688,0.013026,-0.923027
0.735104,2.219103,0.707092,0.013778,-1.177379
0.726554,2.050419,0.664244,0.011239,-0.629116
0.716707,2.688576,0.764348,0.012473,-0.650094
0.728364,2.506595,0.750549,0.013826,-0.98344
0.726809,1.923262,0.640843,0.010872,-0.653797
0.730129,2.336315,0.723071,0.013206,-1.03725
0.733945,2.363956,0.731173,0.014436,-1.201575
0.722549,2.291497,0.701796,0.011623,-0.640945
0.734027,2.011672,0.669511,0.012266,-1.085239
0.734628,2.401525,0.737922,0.014943,-1.215322
0.721135,2.21482,0.684672,0.011232,-0.681909
0.728078,2.283656,0.709957,0.012465,-0.775833
0.729189,2.209214,0.698148,0.012313,-0.831339
0.72499,2.134801,0.677281,0.011356,-0.634964
0.726638,2.61835,0.768738,0.014142,-0.900317
0.726904,2.353042,0.721319,0.012577,-0.723392
0.731996,2.336751,0.724966,0.013696,-1.162026
0.734772,2.405016,0.738825,0.015025,-1.216882
0.728433,2.316365,0.717003,0.012692,-0.867023
0.725416,2.198595,0.689856,0.011644,-0.617383
0.718912,2.331457,0.702134,0.011385,-0.691608
0.72654,2.016934,0.657888,0.011125,-0.63647
0.729088,2.319627,0.718298,0.012865,-0.916464
0.73718,2.561128,0.765229,0.017211,-1.250496
0.72071,2.021418,0.647714,0.010717,-0.724872
0.734671,2.473782,0.750472,0.015539,-1.230074
0.725057,2.116514,0.673957,0.0113,-0.638297
0.728355,2.668323,0.778028,0.015011,-1.106363
0.73474,2.167344,0.698342,0.013364,-1.161433
0.724934,1.980243,0.648004,0.010872,-0.674048
0.72412,2.093615,0.667883,0.011131,-0.660389
0.731883,2.174625,0.695991,0.012689,-1.069189
0.729951,2.423576,0.737698,0.013692,-1.0759
0.730908,2.44579,0.743292,0.014144,-1.170754
0.736804,2.30445,0.72253,0.014898,-1.204188
0.724329,2.439925,0.732504,0.012521,-0.609237
0.732308,2.000412,0.664545,0.011888,-0.953085
0.724177,2.27605,0.701896,0.011776,-0.618569
0.736715,2.568117,0.766623,0.017109,-1.251491
0.730462,2.123659,0.684574,0.012136,-0.883408
0.722873,2.289468,0.701956,0.011654,-0.63624
0.729181,2.544203,0.758238,0.014321,-1.098523
0.737776,2.692886,0.786699,0.018778,-1.273431
0.735229,2.174216,0.699565,0.013524,-1.167894
0.723064,2.43394,0.72916,0.012269,-0.606675
0.732286,2.233242,0.707109,0.013133,-1.128689
0.725138,2.507443,0.746534,0.01303,-0.671715
0.730703,2.60305,0.768977,0.015232,-1.21804
0.729616,2.04483,0.668654,0.011631,-0.718609
0.727132,2.227482,0.698064,0.012025,-0.654097
0.728267,2.110643,0.678423,0.011698,-0.661117
0.725832,2.205188,0.691748,0.011728,-0.615644
0.731494,2.132936,0.688143,0.01238,-0.996656
0.723257,2.368563,0.717475,0.012017,-0.614598
0.730962,1.67104,0.600674,0.010549,-0.651266
0.7294,2.149956,0.687515,0.012063,-0.794561
0.717805,2.319255,0.697624,0.011266,-0.709882
0.725073,2.474281,0.740393,0.012837,-0.649609
0.737705,2.153664,0.698194,0.0141,-1.179136
0.729839,2.148111,0.688134,0.012138,-0.844643
0.722528,2.098981,0.6658,0.011014,-0.686516
0.719432,2.172646,0.673447,0.010998,-0.715389
0.725645,2.49971,0.74611,0.013104,-0.708711
0.728109,2.373349,0.726821,0.012935,-0.878165
0.729336,2.237612,0.703973,0.012484,-0.876293
0.736506,2.053043,0.679599,0.013106,-1.151463
0.724595,2.187567,0.686296,0.011499,-0.629801
0.725618,2.337404,0.716029,0.012267,-0.626311
0.729702,2.516794,0.75394,0.014269,-1.119793
0.722383,2.410815,0.723828,0.012065,-0.619259
0.721652,2.433381,0.726514,0.012049,-0.626098
0.724645,1.938467,0.639576,0.010746,-0.688473
0.72637,2.122472,0.677493,0.011479,-0.620339
0.723465,2.493313,0.741074,0.012629,-0.601596
0.734884,2.287458,0.718898,0.014186,-1.191313
0.726026,2.248278,0.700056,0.011935,-0.619174
0.726103,2.223609,0.695597,0.011844,-0.617793
0.727764,2.232357,0.700163,0.012155,-0.698073
0.733993,2.495998,0.753367,0.015463,-1.230142
0.734871,2.299029,0.720582,0.014248,-1.193379
0.734382,2.510569,0.756523,0.015747,-1.236316
0.728436,2.478886,0.745389,0.013651,-0.966612
0.728538,2.644905,0.774254,0.014878,-1.10763
0.724791,2.221588,0.692863,0.011648,-0.620163
0.726569,2.231343,0.697997,0.011951,-0.631348
0.721235,2.169938,0.67654,0.011115,-0.690827
0.724089,2.060858,0.661616,0.011031,-0.669293
0.732509,2.21625,0.704413,0.013086,-1.129631
0.731778,2.463904,0.746048,0.014482,-1.195912
0.731523,2.057225,0.673775,0.012013,-0.925421
0.735001,2.343301,0.728201,0.014623,-1.205272
0.726472,2.161214,0.684738,0.011641,-0.618553
0.724033,2.458668,0.73551,0.012561,-0.605965
0.727796,2.719982,0.786487,0.015274,-1.092439
0.729879,2.147637,0.688161,0.012145,-0.848713
0.725375,2.329409,0.713964,0.012186,-0.617071
0.736754,2.273502,0.717324,0.014654,-1.19827
0.730854,2.197614,0.698892,0.012586,-0.982914
0.735178,2.371337,0.733443,0.014901,-1.211887
0.732337,2.420611,0.739736,0.014368,-1.196709
0.730111,2.380237,0.730477,0.013461,-1.061601
0.728335,1.94426,0.647438,0.011081,-0.631048
0.730204,2.119008,0.683408,0.012068,-0.854791
0.740731,2.322388,0.727809,0.016443,-1.214619
0.724898,2.190907,0.687394,0.011548,-0.624531
0.731919,2.20283,0.700936,0.012857,-1.090645
0.730768,2.266268,0.711204,0.012939,-1.029671
0.7312,2.70129,0.786282,0.016289,-1.254668
0.729263,2.038916,0.666877,0.011551,-0.682238
0.729745,2.570518,0.762725,0.014677,-1.166127
0.729633,2.23915,0.704504,0.01255,-0.904014
0.72406,2.208785,0.689237,0.01151,-0.634209
0.731026,2.335094,0.72323,0.013423,-1.114497
0.728532,2.562755,0.761212,0.014283,-1.056683
0.729737,2.539475,0.757554,0.014436,-1.149191
0.721789,2.437668,0.727569,0.012089,-0.623176
0.732938,2.104904,0.684842,0.012541,-1.090692
0.723989,2.359851,0.717267,0.012094,-0.608789
0.731757,2.156366,0.692621,0.012566,-1.043722
0.727218,2.443626,0.738011,0.013138,-0.828958
0.721196,2.249841,0.691366,0.011345,-0.673236
0.727832,2.256145,0.704708,0.012285,-0.725781
0.741553,1.862025,0.650637,0.013252,-1.135044
0.724212,2.416594,0.72808,0.012388,-0.606504
0.728138,2.225235,0.699466,0.012193,-0.729276
0.724858,2.500419,0.744799,0.012936,-0.64757
0.733619,2.374188,0.732773,0.014419,-1.200647
0.730865,2.472066,0.74776,0.014314,-1.179704
0.735515,2.202001,0.704702,0.013787,-1.178502
0.727514,2.675391,0.778595,0.014815,-1.023666
0.728697,2.373028,0.727482,0.013075,-0.916099
0.728464,2.409056,0.733563,0.01323,-0.920903
0.732782,2.824144,0.8061,0.018084,-1.291755
0.72518,2.160209,0.682261,0.011467,-0.626421
0.725048,2.590383,0.761393,0.013525,-0.709569
0.730781,2.26515,0.711005,0.012936,-1.030036
0.735923,2.464512,0.749102,0.015877,-1.231522
0.733188,2.60013,0.770259,0.016066,-1.24819
0.733972,2.466846,0.748203,0.015216,-1.223943
0.732088,2.294455,0.717836,0.013456,-1.149684
0.731436,2.192421,0.6986,0.012691,-1.043516
0.736267,2.345792,0.729271,0.015041,-1.210357
0.730934,2.554588,0.76112,0.01492,-1.208468
0.733454,2.15317,0.694197,0.012926,-1.128915
0.729379,2.410243,0.735092,0.013475,-1.019095
0.735326,2.227729,0.708966,0.013905,-1.182373
0.725717,2.294066,0.708052,0.012086,-0.619518
0.73408,2.097026,0.684931,0.012761,-1.129771
0.731617,2.3576,0.728255,0.013731,-1.159104
0.728731,2.157475,0.68806,0.011983,-0.730477
0.723768,2.364579,0.71763,0.012078,-0.609631
0.731627,2.230814,0.705579,0.012949,-1.089474
0.720487,2.335214,0.705964,0.011546,-0.666359
0.724524,2.121773,0.673848,0.01126,-0.646512
0.722062,2.051396,0.655916,0.010857,-0.705635
0.726747,2.256822,0.702864,0.012091,-0.647264
0.739586,2.349534,0.73257,0.016281,-1.218369
0.726609,2.282933,0.707414,0.012186,-0.65067
0.727447,2.316755,0.715443,0.0125,-0.750249
0.725463,2.279582,0.704811,0.01198,-0.613605
0.73187,2.328088,0.723448,0.013611,-1.155885
0.724687,2.366517,0.719569,0.012236,-0.609379
0.732827,2.384901,0.734413,0.014281,-1.194515
0.736628,2.70256,0.787426,0.018373,-1.274127
0.722236,2.323545,0.707237,0.011703,-0.639173
0.732726,2.065004,0.677326,0.012284,-1.049077
0.736304,2.179945,0.701819,0.013883,-1.178748
0.723386,2.648068,0.769338,0.01349,-0.629202
0.731441,2.028677,0.668465,0.011861,-0.891663
0.727488,2.141571,0.682993,0.01171,-0.638769
0.72361,2.494436,0.741464,0.012664,-0.602723
0.728747,1.936101,0.646692,0.011102,-0.633545
0.728162,2.427619,0.73666,0.013267,-0.911572
0.731408,2.220857,0.703737,0.01284,-1.066989
0.742359,2.523537,0.759503,0.018946,-1.245626
0.729104,2.272164,0.709865,0.012614,-0.882543
0.729673,2.604227,0.768578,0.014924,-1.180897
0.732025,2.587936,0.767982,0.015575,-1.235787
0.729971,2.453034,0.74279,0.013887,-1.08569
0.72755,2.344134,0.72042,0.012656,-0.784198
0.7295,2.553769,0.759462,0.014451,-1.120466
0.726933,2.488381,0.745614,0.013342,-0.831993
0.726977,1.985413,0.652782,0.01107,-0.636358
0.733169,2.242167,0.709313,0.013406,-1.15827
0.729865,2.240203,0.704954,0.012597,-0.924952
0.727357,2.362781,0.723585,0.012718,-0.77852
0.727756,2.432205,0.736998,0.013201,-0.886041
0.739774,2.19417,0.705839,0.015044,-1.191528
0.732177,1.983815,0.661203,0.011787,-0.923083
0.729058,2.411389,0.734602,0.013397,-0.982469
0.712442,2.207633,0.666741,0.010775,-0.737017
0.730519,2.261084,0.709918,0.012863,-1.006191
0.728864,2.128401,0.682905,0.011873,-0.71784
0.732219,2.15049,0.692107,0.01263,-1.076842
0.730731,2.408404,0.736008,0.013824,-1.139615
0.728154,2.350339,0.72271,0.012818,-0.863796
0.729513,2.01782,0.663424,0.011504,-0.687925
0.721373,2.209741,0.68421,0.011239,-0.679237
0.729173,2.229832,0.702318,0.012407,-0.85495
0.719847,2.586703,0.751791,0.012461,-0.622302
0.729809,2.34076,0.723232,0.013159,-1.005197
0.726192,2.543965,0.754331,0.013498,-0.788477
0.730573,2.311681,0.718901,0.013156,-1.039689
0.730975,2.401059,0.73528,0.013844,-1.152869
0.726891,2.151124,0.6837,0.011662,-0.623174
0.732575,2.022875,0.669521,0.012045,-1.003405
0.727393,2.788069,0.797645,0.01574,-1.10414
0.721858,2.392114,0.719277,0.011914,-0.631082
0.735976,1.940696,0.658984,0.012322,-1.111674
0.733525,2.456985,0.746321,0.014997,-1.21873
0.727584,2.332061,0.718279,0.012601,-0.777455
0.727659,2.394835,0.729915,0.012956,-0.840887
0.730675,2.709071,0.786625,0.016145,-1.247301
0.73055,2.124832,0.684879,0.012158,-0.89264
0.727924,2.299916,0.712686,0.012513,-0.774171
0.725876,2.009624,0.655381,0.011038,-0.650201
0.728829,2.399569,0.73218,0.013265,-0.94843
0.729647,2.250363,0.706517,0.012611,-0.914054
0.725032,2.334362,0.714147,0.012145,-0.611491
0.73171,2.164701,0.694054,0.012603,-1.046291
0.730071,2.258813,0.708633,0.012743,-0.959307
0.727276,2.260256,0.704384,0.0122,-0.676893
0.719992,2.659585,0.765265,0.012864,-0.604936
0.734339,2.485049,0.752205,0.015516,-1.231126
0.726152,2.627121,0.769486,0.014074,-0.855293
0.723503,2.092848,0.666529,0.011075,-0.67129
0.73483,2.36559,0.731897,0.014736,-1.208945
0.732499,2.21757,0.704645,0.013092,-1.129994
0.737438,2.003007,0.671908,0.013041,-1.146612
0.732419,2.357451,0.728639,0.013934,-1.174003
0.727407,2.545504,0.756599,0.013831,-0.930109
0.721439,2.478269,0.734475,0.012211,-0.620416
0.722316,2.548301,0.749057,0.012697,-0.598211
0.729213,2.574479,0.762603,0.014525,-1.112965
0.731371,2.578084,0.765101,0.01524,-1.220845
0.72944,2.49651,0.750208,0.014054,-1.087674
0.723126,2.191584,0.684286,0.011349,-0.654013
0.729684,2.393463,0.732594,0.013441,-1.040098
0.726871,2.186198,0.690147,0.011805,-0.62927
0.722693,2.606035,0.760626,0.013086,-0.597182
0.734543,2.256646,0.713243,0.013877,-1.181457
0.735637,2.518783,0.758118,0.01625,-1.240969
0.727629,2.280233,0.708847,0.012364,-0.726444
0.731749,2.234499,0.706348,0.013001,-1.099879
0.728039,2.259381,0.705562,0.01234,-0.749506
0.729282,2.293151,0.71371,0.012759,-0.913743
0.732987,2.216854,0.704896,0.013198,-1.142885
0.722588,1.852434,0.61953,0.010467,-0.728653
0.728418,1.843947,0.628692,0.010789,-0.643979
0.723335,2.076726,0.663212,0.011015,-0.677957
0.722101,2.527653,0.744951,0.012554,-0.602537
0.727741,2.300043,0.712547,0.012477,-0.755965
0.730156,2.709952,0.786227,0.015964,-1.239103
0.731815,2.482687,0.749205,0.014634,-1.200895
0.728503,2.585002,0.764807,0.014429,-1.069271
0.728857,2.47016,0.744702,0.013715,-1.008943
0.72941,2.351002,0.724285,0.013118,-0.969661
0.718102,2.324591,0.699261,0.011304,-0.705431
0.721008,2.49829,0.737491,0.012234,-0.622742
0.726955,2.184066,0.689895,0.011809,-0.631502
0.731541,2.58347,0.766486,0.015361,-1.22797
0.727883,2.268869,0.70708,0.012356,-0.741953
0.733825,2.519705,0.757315,0.015601,-1.234539
0.73617,2.349228,0.729844,0.015038,-1.210733
0.73553,1.928426,0.656112,0.01216,-1.10012
0.733111,2.611047,0.772023,0.016136,-1.250092
0.728627,2.067632,0.671074,0.011575,-0.660912
0.731519,2.221434,0.703895,0.01287,-1.075714
0.726295,2.235196,0.6982,0.011923,-0.623471
0.728601,2.490777,0.748221,0.013791,-0.998709
0.737373,2.465882,0.750374,0.016439,-1.234624
0.72686,2.264366,0.70436,0.012144,-0.655403
0.735813,2.247047,0.713119,0.014207,-1.190247
0.731232,2.51458,0.75455,0.014704,-1.202273
0.730876,2.314375,0.71954,0.013257,-1.090817
0.729917,2.405416,0.734724,0.013572,-1.064676
0.72471,2.417293,0.729159,0.012485,-0.614952
0.729046,2.347548,0.723271,0.01301,-0.929878
0.723859,2.307156,0.707114,0.011854,-0.617318
0.733411,2.803637,0.802825,0.018121,-1.28949
0.718769,2.165729,0.670903,0.010945,-0.721491
0.732101,2.163914,0.694384,0.01268,-1.078159
0.728623,2.460235,0.742403,0.013581,-0.972407
0.720006,2.530879,0.741583,0.012227,-0.632236
0.724466,2.262488,0.699888,0.011763,-0.617204
0.731243,2.143909,0.68975,0.012375,-0.965032
0.728044,2.449778,0.740306,0.013363,-0.925966
0.727442,2.330797,0.717929,0.012569,-0.7607
0.733075,2.048477,0.674798,0.012258,-1.062724
0.731489,2.523366,0.755932,0.014843,-1.207892
0.734919,1.749005,0.621777,0.011259,-0.983665
0.729094,2.031055,0.665053,0.011494,-0.668199
0.726118,2.423983,0.733255,0.012782,-0.70559
0.729899,2.479542,0.747608,0.01407,-1.121307
0.728282,2.511571,0.751369,0.013841,-0.978828
0.731014,2.282238,0.714092,0.013101,-1.079562
0.727028,2.435303,0.73628,0.013045,-0.799736
0.731139,2.062686,0.674296,0.011968,-0.89327
0.723396,2.455751,0.734117,0.012434,-0.602875
0.734816,2.083259,0.68312,0.012858,-1.137518
0.730121,2.10731,0.681015,0.011995,-0.834699
0.726431,2.467735,0.741275,0.013101,-0.760216
0.727001,2.297987,0.710929,0.01233,-0.679592
0.728708,2.305752,0.715461,0.012709,-0.874085
0.729933,2.246174,0.706224,0.012644,-0.93424
0.726402,2.144686,0.681601,0.011567,-0.618724
0.731041,2.314577,0.719645,0.013298,-1.102555
0.727653,2.5809,0.762844,0.014149,-0.967025
0.725269,2.21254,0.692183,0.011679,-0.616739
0.733865,2.484342,0.751073,0.015319,-1.227049
0.729067,2.620371,0.770485,0.014838,-1.132395
0.727199,2.407495,0.731538,0.012925,-0.796874
0.734266,2.0467,0.676171,0.012525,-1.115202
0.727565,2.54053,0.7557,0.013829,-0.940541
0.733612,2.244171,0.710055,0.013538,-1.166122
0.731106,2.244805,0.707773,0.012908,-1.060363
0.729996,2.593253,0.76717,0.014947,-1.193652
0.729311,2.243132,0.704932,0.012508,-0.878504
0.734273,2.272467,0.715873,0.013912,-1.182694
0.73044,2.302136,0.717277,0.013074,-1.034313
0.723516,2.090247,0.666068,0.011068,-0.671673
0.729163,2.197361,0.69581,0.012248,-0.815283
0.72857,2.217751,0.698595,0.012235,-0.766578
0.729597,2.058433,0.671095,0.011685,-0.727925
0.734413,2.376301,0.733069,0.014661,-1.207123
0.725777,2.41679,0.730707,0.012686,-0.660671
0.730402,2.090622,0.678463,0.011969,-0.848285
0.731734,2.163475,0.69386,0.0126,-1.047614
0.726693,2.35406,0.720957,0.01255,-0.693537
0.728665,2.621454,0.770401,0.014734,-1.103058
0.730216,2.381462,0.730613,0.013491,-1.061244
0.727732,2.388042,0.728877,0.012939,-0.844809
0.731597,2.143105,0.690123,0.012462,-1.017718
